PACKAGE,Farmer_number,SEX,MS,EDU,FARMER.TYPE,Coordite,COMMUNITY.ME,LGA,SETORIAL.ZONE,STATE,geno_Trait,Trait
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Sprout6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Sprout6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Sprout6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Pgwt6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Pgwt6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Pgwt6
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Canopy6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Canopy6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Canopy6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Canopy6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Canopy6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Canopy6
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Branch6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Branch6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Branch6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Branch6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Branch6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Branch6
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Disease6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Disease6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Disease6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_Disease6
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Disease6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Disease6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Disease6
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk6
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk6
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_Earlybulk6
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Earlybulk6
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_Earlybulk6
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_overimpr9MAP
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_overimpr9MAP
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_overimpr9MAP
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_overimpr9MAP
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_pltgrwt9MAP
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_pltgrwt9MAP
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_pltgrwt9MAP
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_pltgrwt9MAP
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_weed9MAP
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_branch9MAP
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_branch9MAP
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_branch9MAP
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_branch9MAP
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Best_suitability9MAP
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_suitability9MAP
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_suitability9MAP
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_suitability9MAP
Package#82,2,F,Married,SSCE,Producer/Processor,5'410199N 7'015258E,Ihiagwa,Owerri North,Owerri,Imo,IITA-TMS-IBA000070,Best_HvYield12
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvYield12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvYield12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvYield12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvYield12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvYield12
Package#82,2,F,Married,SSCE,Producer/Processor,5'410199N 7'015258E,Ihiagwa,Owerri North,Owerri,Imo,IITA-TMS-IBA000070,Best_HvDensity12
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvDensity12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvDensity12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvDensity12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvDensity12
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvDensity12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvDensity12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootcol12
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootcol12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootcol12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootcol12
Package#82,2,F,Married,SSCE,Producer/Processor,5'410199N 7'015258E,Ihiagwa,Owerri North,Owerri,Imo,IITA-TMS-IBA000070,Best_HvRootsiz12
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootsiz12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootsiz12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootsiz12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootsiz12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootsiz12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootsiz12
Package#82,2,F,Married,SSCE,Producer/Processor,5'410199N 7'015258E,Ihiagwa,Owerri North,Owerri,Imo,IITA-TMS-IBA000070,Best_HvRootshp12
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootshp12
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootshp12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootshp12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootshp12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootshp12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootshp12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootshp12
Package#132,52,F,Married,OND,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvRootrot12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvRootrot12
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootrot12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootrot12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvRootrot12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_HvWodyfil12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvWodyfil12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_HvWodyfil12
Package#114,33,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvWodyfil12
Package#155,75,F,Married ,WACE,Producer/Processor, 5'3721.912N 7'1925.88E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_HvWodyfil12
Package#82,2,F,Married,SSCE,Producer/Processor,5'410199N 7'015258E,Ihiagwa,Owerri North,Owerri,Imo,IITA-TMS-IBA000070,Best_EaseP12
Package#140,60,F,Married,NCE,, 5'6146394N 7'3117057E,Umualumaku,Ehime Mbano,Okigwe,Imo,IITA-TMS-IBA000070,Best_EaseP12
Package#151,71,M,Widower,HND,Producer/Processor,5'626191N 7'307245E,Umuezegwu,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Best_EaseP12
Package#94,14,F,Married,NCE,,5'5730476N7'0315259E,Umuawara Ubommiri,Mbaitolu,Owerri,Imo,IITA-TMS-IBA000070,Worst_EaseP12
Package#109,29,F,Married,NCE,Producer/Processor,5'3653575N 7'0860995E,Imerienwe,Ngor Okpala,Owerri,Imo,IITA-TMS-IBA000070,Worst_EaseP12
Package#120,39,F,Married,SSCE,,5'623158N 7'355813E,Umukara,Ihite Uboma,Okigwe,Imo,IITA-TMS-IBA000070,Worst_EaseP12
